Island,lon,lat
OUFI,-156.236,20.528
OUFI,-156.237,20.527
OUFI,-156.238,20.5262
OUFI,-156.243,20.5235
OUFI,-156.248,20.521
OUFI,-156.253,20.5187
OUFI,-156.258,20.5158
OUFI,-156.263,20.5136
OUFI,-156.268,20.5112
OUFI,-156.273,20.5099
OUFI,-156.278,20.5084
OUFI,-156.284,20.5074
OUFI,-156.288,20.5057
OUFI,-156.293,20.5045
OUFI,-156.298,20.5036
OUFI,-156.302,20.5025
OUFI,-156.307,20.5011
OUFI,-156.312,20.4998
OUFI,-156.317,20.4993
OUFI,-156.322,20.4989
OUFI,-156.327,20.4984
OUFI,-156.333,20.4949
OUFI,-156.337,20.4917
OUFI,-156.343,20.4914
OUFI,-156.349,20.491
OUFI,-156.355,20.491
OUFI,-156.36,20.4929
OUFI,-156.365,20.4927
OUFI,-156.371,20.4912
OUFI,-156.377,20.4901
OUFI,-156.381,20.4874
OUFI,-156.386,20.4859
OUFI,-156.388,20.4817
OUFI,-156.391,20.4778
OUFI,-156.396,20.4768
OUFI,-156.4,20.4787
OUFI,-156.405,20.4823
OUFI,-156.409,20.487
OUFI,-156.414,20.4845
OUFI,-156.421,20.4834
OUFI,-156.426,20.4807
OUFI,-156.432,20.4775
OUFI,-156.437,20.4739
OUFI,-156.443,20.4715
OUFI,-156.449,20.471
OUFI,-156.455,20.4733
OUFI,-156.461,20.4746
OUFI,-156.465,20.4764
OUFI,-156.468,20.4805
OUFI,-156.473,20.4823
OUFI,-156.477,20.4776
OUFI,-156.482,20.4794
OUFI,-156.487,20.4769
OUFI,-156.493,20.4752
OUFI,-156.499,20.4738
OUFI,-156.505,20.4726
OUFI,-156.512,20.4704
OUFI,-156.515,20.4676
OUFI,-156.523,20.4643
OUFI,-156.528,20.4647
OUFI,-156.534,20.4635
OUFI,-156.538,20.4603
OUFI,-156.542,20.4571
OUFI,-156.547,20.456
OUFI,-156.552,20.4543
OUFI,-156.557,20.4544
OUFI,-156.563,20.4535
OUFI,-156.569,20.4533
OUFI,-156.573,20.4577
OUFI,-156.576,20.4623
OUFI,-156.58,20.4643
OUFI,-156.585,20.4609
OUFI,-156.587,20.457
OUFI,-156.59,20.4526
OUFI,-156.595,20.4493
OUFI,-156.6,20.4484
OUFI,-156.605,20.449
OUFI,-156.61,20.4506
OUFI,-156.616,20.4519
OUFI,-156.62,20.4499
OUFI,-156.625,20.4488
OUFI,-156.63,20.4484
OUFI,-156.635,20.4489
OUFI,-156.64,20.4496
OUFI,-156.646,20.4515
OUFI,-156.651,20.452
OUFI,-156.656,20.4508
OUFI,-156.662,20.4512
OUFI,-156.666,20.4524
OUFI,-156.671,20.4499
OUFI,-156.675,20.4527
OUFI,-156.68,20.4538
OUFI,-156.685,20.4516
OUFI,-156.69,20.448
OUFI,-156.694,20.4456
OUFI,-156.702,20.4436
OUFI,-156.708,20.4453
OUFI,-156.715,20.4433
OUFI,-156.719,20.4422
OUFI,-156.724,20.4427
OUFI,-156.729,20.4423
OUFI,-156.735,20.4421
OUFI,-156.74,20.4416
OUFI,-156.746,20.441
OUFI,-156.751,20.4407
OUFI,-156.757,20.4407
OUFI,-156.763,20.439
OUFI,-156.768,20.4364
OUFI,-156.772,20.4325
OUFI,-156.776,20.4297
OUFI,-156.781,20.4276
OUFI,-156.786,20.4252
OUFI,-156.79,20.4213
OUFI,-156.792,20.4142
OUFI,-156.798,20.4122
OUFI,-156.804,20.4126
OUFI,-156.809,20.4105
OUFI,-156.814,20.409
OUFI,-156.819,20.4047
OUFI,-156.823,20.401
OUFI,-156.824,20.3961
OUFI,-156.823,20.39
OUFI,-156.827,20.3844
OUFI,-156.828,20.3798
OUFI,-156.829,20.3751
OUFI,-156.835,20.3712
OUFI,-156.842,20.3714
OUFI,-156.849,20.3736
OUFI,-156.855,20.3743
OUFI,-156.861,20.3772
OUFI,-156.866,20.3794
OUFI,-156.871,20.3817
OUFI,-156.877,20.3836
OUFI,-156.885,20.3843
OUFI,-156.892,20.3851
OUFI,-156.9,20.3858
OUFI,-156.907,20.3879
OUFI,-156.911,20.3912
OUFI,-156.916,20.3945
OUFI,-156.92,20.3975
OUFI,-156.924,20.3999
OUFI,-156.94,20.3999
OUFI,-156.955,20.398
OUFI,-156.966,20.3956
OUFI,-156.985,20.395
OUFI,-156.991,20.3947
OUFI,-156.998,20.3964
OUFI,-157.002,20.4008
OUFI,-157.006,20.4059
OUFI,-157.019,20.4157
OUFI,-157.025,20.4182
OUFI,-157.031,20.4204
OUFI,-157.037,20.4228
